street_name,latitude,longitude,nearest_mrt_distance,nearest_bus_distance
ANG MO KIO AVE 10,1.36200453938712,103.853879910407,926.898193316179,97.9691527384026
ANG MO KIO AVE 4,1.37096635222625,103.838201940326,197.441011494542,168.95493861666674
ANG MO KIO AVE 5,1.38070883044887,103.835368226602,499.2849206434141,138.09701147167874
ANG MO KIO AVE 10,1.3662010408294,103.857200967235,880.4244775449177,72.02017446973656
ANG MO KIO AVE 5,1.38104134784496,103.835131744823,471.1533651952355,123.96383674457338
ANG MO KIO AVE 5,1.37680678506745,103.842017962576,639.4546619787951,99.26773482821804
ANG MO KIO AVE 10,1.36747901420817,103.855967139125,702.2085018864688,144.43613698418562
ANG MO KIO AVE 1,1.36511908595886,103.841742478489,948.259287537093,127.82121994584904
ANG MO KIO AVE 3,1.37005501296043,103.85488055876,555.5882521946783,110.00716711437778
ANG MO KIO AVE 10,1.37405846295585,103.854168170426,704.3253984743162,81.69837051606817
ANG MO KIO AVE 3,1.36754924977907,103.836740628478,504.61960032272776,133.48778499570855
ANG MO KIO AVE 3,1.36682360872342,103.83649123351,555.8815181742395,170.3735664119935
ANG MO KIO AVE 1,1.36598198004505,103.840654039612,801.2843081705543,122.8233849268817
ANG MO KIO AVE 10,1.37447378519738,103.854100515826,734.5524974163868,87.43695617219092
ANG MO KIO AVE 3,1.36885445228086,103.837896397823,378.6600147094835,129.37110228125425
ANG MO KIO AVE 3,1.3697435855576,103.856023138277,678.4322271222651,29.990306162095848
ANG MO KIO AVE 4,1.38156171229824,103.84000226873,550.1259462209508,78.75810538607588
ANG MO KIO AVE 10,1.36605027829032,103.854168309853,596.7144868499169,218.33140605662317
ANG MO KIO AVE 9,1.38219867741921,103.841211533475,418.18281410337306,110.5929130114945
ANG MO KIO AVE 3,1.36956344301912,103.844698910817,582.3334057797516,95.98928352693318
ANG MO KIO AVE 4,1.37065487078854,103.834630215787,291.2286996930307,33.55311704122074
ANG MO KIO AVE 10,1.36830996981351,103.853600305664,423.6740136299914,160.6555287360346
ANG MO KIO AVE 3,1.369196965617,103.841666636086,626.9320922538678,65.41538418326368
ANG MO KIO AVE 3,1.37071307985916,103.853497803014,424.3793945565998,81.18558439661315
ANG MO KIO AVE 4,1.37329593649654,103.835475719134,201.35298394593983,232.46377414978124
ANG MO KIO AVE 1,1.3613425564061,103.851698621454,911.4705275343492,72.51517738858016
ANG MO KIO AVE 4,1.37061517595951,103.83596769452,189.29038854265295,61.49939836023206
ANG MO KIO AVE 1,1.36243186402478,103.851030689651,778.5833386742526,86.23112388206671
ANG MO KIO AVE 10,1.3716257020332,103.857736107527,903.6587413176632,111.88027055793157
ANG MO KIO AVE 3,1.36708983179046,103.845660199054,537.2285565332037,184.15242291828045
